Store,Product,Date,Sales
S1,P1,2022-01-11,50
S1,P2,2022-01-11,76
S1,P3,2022-01-11,54
S1,P4,2022-01-11,80
S1,P5,2022-01-11,94
S2,P1,2022-01-11,89
S2,P2,2022-01-11,50
S2,P3,2022-01-11,91
S2,P4,2022-01-11,89
S2,P5,2022-01-11,61
S3,P1,2022-01-11,74
S3,P2,2022-01-11,72
S3,P3,2022-01-11,87
S3,P4,2022-01-11,73
S3,P5,2022-01-11,73
S4,P1,2022-01-11,91
S4,P2,2022-01-11,62
S4,P3,2022-01-11,65
S4,P4,2022-01-11,74
S4,P5,2022-01-11,94
S5,P1,2022-01-11,68
S5,P2,2022-01-11,68
S5,P3,2022-01-11,55
S5,P4,2022-01-11,81
S5,P5,2022-01-11,99
S1,P1,2022-01-12,79
S1,P2,2022-01-12,67
S1,P3,2022-01-12,68
S1,P4,2022-01-12,50
S1,P5,2022-01-12,78
S2,P1,2022-01-12,70
S2,P2,2022-01-12,55
S2,P3,2022-01-12,60
S2,P4,2022-01-12,81
S2,P5,2022-01-12,77
S3,P1,2022-01-12,74
S3,P2,2022-01-12,61
S3,P3,2022-01-12,62
S3,P4,2022-01-12,93
S3,P5,2022-01-12,96
S4,P1,2022-01-12,93
S4,P2,2022-01-12,56
S4,P3,2022-01-12,67
S4,P4,2022-01-12,54
S4,P5,2022-01-12,79
S5,P1,2022-01-12,74
S5,P2,2022-01-12,76
S5,P3,2022-01-12,74
S5,P4,2022-01-12,57
S5,P5,2022-01-12,89
S1,P1,2022-01-13,84
S1,P2,2022-01-13,81
S1,P3,2022-01-13,68
S1,P4,2022-01-13,90
S1,P5,2022-01-13,83
S2,P1,2022-01-13,70
S2,P2,2022-01-13,83
S2,P3,2022-01-13,60
S2,P4,2022-01-13,83
S2,P5,2022-01-13,79
S3,P1,2022-01-13,67
S3,P2,2022-01-13,85
S3,P3,2022-01-13,90
S3,P4,2022-01-13,79
S3,P5,2022-01-13,50
S4,P1,2022-01-13,61
S4,P2,2022-01-13,51
S4,P3,2022-01-13,61
S4,P4,2022-01-13,61
S4,P5,2022-01-13,66
S5,P1,2022-01-13,53
S5,P2,2022-01-13,64
S5,P3,2022-01-13,66
S5,P4,2022-01-13,93
S5,P5,2022-01-13,57
S1,P1,2022-01-14,85
S1,P2,2022-01-14,58
S1,P3,2022-01-14,95
S1,P4,2022-01-14,83
S1,P5,2022-01-14,51
S2,P1,2022-01-14,54
S2,P2,2022-01-14,66
S2,P3,2022-01-14,54
S2,P4,2022-01-14,85
S2,P5,2022-01-14,63
S3,P1,2022-01-14,58
S3,P2,2022-01-14,69
S3,P3,2022-01-14,96
S3,P4,2022-01-14,50
S3,P5,2022-01-14,52
S4,P1,2022-01-14,62
S4,P2,2022-01-14,98
S4,P3,2022-01-14,51
S4,P4,2022-01-14,55
S4,P5,2022-01-14,61
S5,P1,2022-01-14,86
S5,P2,2022-01-14,66
S5,P3,2022-01-14,80
S5,P4,2022-01-14,58
S5,P5,2022-01-14,73
S1,P1,2022-01-15,72
S1,P2,2022-01-15,55
S1,P3,2022-01-15,93
S1,P4,2022-01-15,56
S1,P5,2022-01-15,67
S2,P1,2022-01-15,50
S2,P2,2022-01-15,60
S2,P3,2022-01-15,75
S2,P4,2022-01-15,92
S2,P5,2022-01-15,50
S3,P1,2022-01-15,55
S3,P2,2022-01-15,62
S3,P3,2022-01-15,97
S3,P4,2022-01-15,55
S3,P5,2022-01-15,91
S4,P1,2022-01-15,88
S4,P2,2022-01-15,81
S4,P3,2022-01-15,65
S4,P4,2022-01-15,77
S4,P5,2022-01-15,52
S5,P1,2022-01-15,66
S5,P2,2022-01-15,71
S5,P3,2022-01-15,82
S5,P4,2022-01-15,58
S5,P5,2022-01-15,88
S1,P1,2022-01-16,75
S1,P2,2022-01-16,65
S1,P3,2022-01-16,58
S1,P4,2022-01-16,95
S1,P5,2022-01-16,51
S2,P1,2022-01-16,98
S2,P2,2022-01-16,97
S2,P3,2022-01-16,57
S2,P4,2022-01-16,66
S2,P5,2022-01-16,54
S3,P1,2022-01-16,67
S3,P2,2022-01-16,65
S3,P3,2022-01-16,64
S3,P4,2022-01-16,78
S3,P5,2022-01-16,69
S4,P1,2022-01-16,89
S4,P2,2022-01-16,67
S4,P3,2022-01-16,70
S4,P4,2022-01-16,53
S4,P5,2022-01-16,79
S5,P1,2022-01-16,93
S5,P2,2022-01-16,68
S5,P3,2022-01-16,72
S5,P4,2022-01-16,81
S5,P5,2022-01-16,84
S1,P1,2022-01-17,57
S1,P2,2022-01-17,100
S1,P3,2022-01-17,52
S1,P4,2022-01-17,73
S1,P5,2022-01-17,81
S2,P1,2022-01-17,97
S2,P2,2022-01-17,94
S2,P3,2022-01-17,97
S2,P4,2022-01-17,100
S2,P5,2022-01-17,79
S3,P1,2022-01-17,60
S3,P2,2022-01-17,63
S3,P3,2022-01-17,71
S3,P4,2022-01-17,92
S3,P5,2022-01-17,96
S4,P1,2022-01-17,54
S4,P2,2022-01-17,67
S4,P3,2022-01-17,72
S4,P4,2022-01-17,65
S4,P5,2022-01-17,53
S5,P1,2022-01-17,50
S5,P2,2022-01-17,78
S5,P3,2022-01-17,69
S5,P4,2022-01-17,62
S5,P5,2022-01-17,54
S1,P1,2022-01-18,100
S1,P2,2022-01-18,61
S1,P3,2022-01-18,66
S1,P4,2022-01-18,59
S1,P5,2022-01-18,53
S2,P1,2022-01-18,50
S2,P2,2022-01-18,52
S2,P3,2022-01-18,71
S2,P4,2022-01-18,66
S2,P5,2022-01-18,65
S3,P1,2022-01-18,81
S3,P2,2022-01-18,62
S3,P3,2022-01-18,57
S3,P4,2022-01-18,88
S3,P5,2022-01-18,52
S4,P1,2022-01-18,84
S4,P2,2022-01-18,80
S4,P3,2022-01-18,97
S4,P4,2022-01-18,51
S4,P5,2022-01-18,97
S5,P1,2022-01-18,93
S5,P2,2022-01-18,86
S5,P3,2022-01-18,93
S5,P4,2022-01-18,84
S5,P5,2022-01-18,95
S1,P1,2022-01-19,55
S1,P2,2022-01-19,80
S1,P3,2022-01-19,75
S1,P4,2022-01-19,93
S1,P5,2022-01-19,88
S2,P1,2022-01-19,85
S2,P2,2022-01-19,96
S2,P3,2022-01-19,59
S2,P4,2022-01-19,91
S2,P5,2022-01-19,99
S3,P1,2022-01-19,83
S3,P2,2022-01-19,86
S3,P3,2022-01-19,90
S3,P4,2022-01-19,98
S3,P5,2022-01-19,89
S4,P1,2022-01-19,54
S4,P2,2022-01-19,84
S4,P3,2022-01-19,78
S4,P4,2022-01-19,56
S4,P5,2022-01-19,51
S5,P1,2022-01-19,85
S5,P2,2022-01-19,89
S5,P3,2022-01-19,63
S5,P4,2022-01-19,98
S5,P5,2022-01-19,90
S1,P1,2022-01-20,83
S1,P2,2022-01-20,81
S1,P3,2022-01-20,98
S1,P4,2022-01-20,95
S1,P5,2022-01-20,97
S2,P1,2022-01-20,56
S2,P2,2022-01-20,100
S2,P3,2022-01-20,96
S2,P4,2022-01-20,53
S2,P5,2022-01-20,85
S3,P1,2022-01-20,84
S3,P2,2022-01-20,70
S3,P3,2022-01-20,89
S3,P4,2022-01-20,54
S3,P5,2022-01-20,52
S4,P1,2022-01-20,61
S4,P2,2022-01-20,55
S4,P3,2022-01-20,81
S4,P4,2022-01-20,98
S4,P5,2022-01-20,56
S5,P1,2022-01-20,78
S5,P2,2022-01-20,87
S5,P3,2022-01-20,69
S5,P4,2022-01-20,68
S5,P5,2022-01-20,53
S1,P1,2022-01-21,89
S1,P2,2022-01-21,90
S1,P3,2022-01-21,65
S1,P4,2022-01-21,71
S1,P5,2022-01-21,78
S2,P1,2022-01-21,91
S2,P2,2022-01-21,64
S2,P3,2022-01-21,66
S2,P4,2022-01-21,86
S2,P5,2022-01-21,83
S3,P1,2022-01-21,75
S3,P2,2022-01-21,58
S3,P3,2022-01-21,73
S3,P4,2022-01-21,75
S3,P5,2022-01-21,52
S4,P1,2022-01-21,64
S4,P2,2022-01-21,89
S4,P3,2022-01-21,97
S4,P4,2022-01-21,85
S4,P5,2022-01-21,50
S5,P1,2022-01-21,98
S5,P2,2022-01-21,87
S5,P3,2022-01-21,52
S5,P4,2022-01-21,54
S5,P5,2022-01-21,75
S1,P1,2022-01-22,98
S1,P2,2022-01-22,66
S1,P3,2022-01-22,60
S1,P4,2022-01-22,79
S1,P5,2022-01-22,50
S2,P1,2022-01-22,100
S2,P2,2022-01-22,72
S2,P3,2022-01-22,98
S2,P4,2022-01-22,53
S2,P5,2022-01-22,67
S3,P1,2022-01-22,96
S3,P2,2022-01-22,52
S3,P3,2022-01-22,71
S3,P4,2022-01-22,60
S3,P5,2022-01-22,97
S4,P1,2022-01-22,84
S4,P2,2022-01-22,73
S4,P3,2022-01-22,78
S4,P4,2022-01-22,71
S4,P5,2022-01-22,66
S5,P1,2022-01-22,86
S5,P2,2022-01-22,53
S5,P3,2022-01-22,56
S5,P4,2022-01-22,76
S5,P5,2022-01-22,94
S1,P1,2022-01-23,92
S1,P2,2022-01-23,61
S1,P3,2022-01-23,96
S1,P4,2022-01-23,81
S1,P5,2022-01-23,54
S2,P1,2022-01-23,100
S2,P2,2022-01-23,61
S2,P3,2022-01-23,82
S2,P4,2022-01-23,74
S2,P5,2022-01-23,80
S3,P1,2022-01-23,57
S3,P2,2022-01-23,69
S3,P3,2022-01-23,72
S3,P4,2022-01-23,62
S3,P5,2022-01-23,60
S4,P1,2022-01-23,66
S4,P2,2022-01-23,67
S4,P3,2022-01-23,72
S4,P4,2022-01-23,87
S4,P5,2022-01-23,66
S5,P1,2022-01-23,66
S5,P2,2022-01-23,98
S5,P3,2022-01-23,51
S5,P4,2022-01-23,51
S5,P5,2022-01-23,74
S1,P1,2022-01-24,77
S1,P2,2022-01-24,66
S1,P3,2022-01-24,87
S1,P4,2022-01-24,69
S1,P5,2022-01-24,76
S2,P1,2022-01-24,57
S2,P2,2022-01-24,67
S2,P3,2022-01-24,60
S2,P4,2022-01-24,79
S2,P5,2022-01-24,96
S3,P1,2022-01-24,67
S3,P2,2022-01-24,57
S3,P3,2022-01-24,63
S3,P4,2022-01-24,70
S3,P5,2022-01-24,98
S4,P1,2022-01-24,79
S4,P2,2022-01-24,69
S4,P3,2022-01-24,52
S4,P4,2022-01-24,58
S4,P5,2022-01-24,99
S5,P1,2022-01-24,62
S5,P2,2022-01-24,57
S5,P3,2022-01-24,70
S5,P4,2022-01-24,100
S5,P5,2022-01-24,56
S1,P1,2022-01-25,81
S1,P2,2022-01-25,88
S1,P3,2022-01-25,64
S1,P4,2022-01-25,63
S1,P5,2022-01-25,75
S2,P1,2022-01-25,57
S2,P2,2022-01-25,63
S2,P3,2022-01-25,91
S2,P4,2022-01-25,86
S2,P5,2022-01-25,91
S3,P1,2022-01-25,100
S3,P2,2022-01-25,61
S3,P3,2022-01-25,80
S3,P4,2022-01-25,81
S3,P5,2022-01-25,67
S4,P1,2022-01-25,83
S4,P2,2022-01-25,63
S4,P3,2022-01-25,63
S4,P4,2022-01-25,67
S4,P5,2022-01-25,86
S5,P1,2022-01-25,94
S5,P2,2022-01-25,98
S5,P3,2022-01-25,62
S5,P4,2022-01-25,74
S5,P5,2022-01-25,53
S1,P1,2022-01-26,53
S1,P2,2022-01-26,92
S1,P3,2022-01-26,63
S1,P4,2022-01-26,96
S1,P5,2022-01-26,89
S2,P1,2022-01-26,82
S2,P2,2022-01-26,84
S2,P3,2022-01-26,99
S2,P4,2022-01-26,71
S2,P5,2022-01-26,84
S3,P1,2022-01-26,82
S3,P2,2022-01-26,62
S3,P3,2022-01-26,88
S3,P4,2022-01-26,70
S3,P5,2022-01-26,74
S4,P1,2022-01-26,95
S4,P2,2022-01-26,71
S4,P3,2022-01-26,53
S4,P4,2022-01-26,54
S4,P5,2022-01-26,65
S5,P1,2022-01-26,88
S5,P2,2022-01-26,57
S5,P3,2022-01-26,90
S5,P4,2022-01-26,100
S5,P5,2022-01-26,60
S1,P1,2022-01-27,98
S1,P2,2022-01-27,96
S1,P3,2022-01-27,62
S1,P4,2022-01-27,79
S1,P5,2022-01-27,93
S2,P1,2022-01-27,89
S2,P2,2022-01-27,79
S2,P3,2022-01-27,87
S2,P4,2022-01-27,68
S2,P5,2022-01-27,58
S3,P1,2022-01-27,86
S3,P2,2022-01-27,95
S3,P3,2022-01-27,70
S3,P4,2022-01-27,59
S3,P5,2022-01-27,54
S4,P1,2022-01-27,67
S4,P2,2022-01-27,96
S4,P3,2022-01-27,100
S4,P4,2022-01-27,58
S4,P5,2022-01-27,74
S5,P1,2022-01-27,62
S5,P2,2022-01-27,80
S5,P3,2022-01-27,89
S5,P4,2022-01-27,97
S5,P5,2022-01-27,57
S1,P1,2022-01-28,56
S1,P2,2022-01-28,85
S1,P3,2022-01-28,81
S1,P4,2022-01-28,52
S1,P5,2022-01-28,58
S2,P1,2022-01-28,94
